question_id;question_type;prompt_md;explanation_md;topic;subtopic;difficulty;points;time_estimate_sec;source_id;source_locator;tags;language;correct_answer_md;answer_tolerance
Q0102;numeric_entry;Határozza meg a három rúdföldelő eredő ellenállását!;A három, 12 ohm, 15 ohm és 18 ohm ellenállású földelő eredője két tizedesre kerekítve 4,86 ohm.;érintésvédelem;földelők;2;1;35;S0021;4. oldal;földelők,eredő ellenállás;hu;4.86;0.01
Q0103;numeric_entry;Mekkora az átlagos napi villamosenergia-fogyasztás a táblázat alapján?;A megadott fogyasztók napi összesen 15,9 kWh villamos energiát használnak fel.;számítás;fogyasztás;2;1;40;S0020;10. oldal;napi fogyasztás,kWh;hu;15.9;0.05
Q0104;single_choice;Milyen értékre kell beállítani a hőkioldót a motor védelméhez?;A hőkioldót a motor névleges áramára kell beállítani.;védelem;hőkioldó;1;1;15;S0021;9. oldal;hőkioldó,motorvédelem;hu;;
Q0105;multi_choice;Válassza ki a II. érintésvédelmi osztályú villamos berendezésre vonatkozó helyes megállapításokat!;A II. osztályú berendezésnél nincs védővezető-csatlakozás, kettős négyzet jelöli, lehet kisfeszültségű betáplálású, és megerősített szigeteléssel is készülhet.;érintésvédelem;II. osztály;2;1;35;S0022;6. oldal;II. osztály,érintésvédelem,szigetelés;hu;;
Q0106;true_false;A TN-C-S rendszerben a szétválasztási pont után a nullavezetősint és a védővezetősint nem szabad összekötni.;A szétválasztás után a N és PE sín külön vezetett, ezért nem szabad őket újra összekötni.;érintésvédelem;TN-C-S;1;1;10;S0024;4. oldal;TN-C-S,N,PE;hu;;
Q0107;single_choice;Miért előnyösebb a TN-C-S hibavédelem áram-védőkapcsolóval kiegészítve a TT földelt hibavédelemhez képest?;Azért, mert a hurokimpedancia lehet nagy értékű, és az áram-védőkapcsoló így növeli a hibavédelem hatékonyságát.;érintésvédelem;hibavédelem;2;1;25;S0024;3. oldal;TN-C-S,TT,ÁVK;hu;;
Q0108;numeric_entry;Mekkora a szellőztető motor áramfelvétele?;A 400 V-os háromfázisú motor áramfelvétele 3,25 A körül van.;számítás;motor;3;1;35;S0021;4. oldal;motor,áramfelvétel,számítás;hu;3.25;0.02
Q0109;numeric_entry;Mekkora az elektromos radiátor napi villamos fogyasztása 12 órás üzemnél?;A 1200 W-os készülék 12 óra alatt 14,4 kWh energiát fogyaszt.;számítás;fogyasztás;2;1;25;S0024;6. oldal;fogyasztás,kWh,radiátor;hu;14.4;0.05
Q0110;single_choice;A 12,5 ohmos hurokimpedancia megfelelő-e a 0,03 A érzékenységű áram-védőkapcsolóval védett körben?;Igen, mert a megengedett értéknél kisebb hurokimpedancia is elegendő.;érintésvédelem;hurokimpedancia;2;1;20;S0020;8. oldal;hurokimpedancia,ÁVK;hu;;
Q0111;ordering;Rendezze sorba a feszültségmentesítés fel nem cserélhető műveleti lépéseit!;A helyes sorrend: teljes leválasztás, visszakapcsolás megakadályozása, feszültség nélküli állapot ellenőrzése, földelés és rövidre zárás, majd a feszültség alatt maradó részek elhatárolása.;biztonság;feszültségmentesítés;2;1;45;S0023;11. oldal;feszültségmentesítés,ordering;hu;;
Q0112;grouping;Csoportosítsa a villamos szerelvények rajzjeleit funkció szerint!;A rajzjeleket dugalj, kapcsoló és világítás csoportokba lehet sorolni.;rajzok;szerelvények;2;1;35;S0022;12. oldal;rajzjelek,csportosítás,szerelvények;hu;;
Q0113;single_choice;Az autószerelő műhely feladatában összesen hány önálló áramkör szerepel?;A feladatban összesen nyolc önálló áramkört kell megtervezni.;kapcsolások;autószerelő műhely;1;1;15;S0022;10-11. oldal;áramkörök,autószerelő műhely;hu;;
Q0114;multi_choice;Válassza ki a kisfeszültségű vezetékek méretezésének fő céljait!;A vezetékeket minőségi energiaszolgáltatás, biztonság és gazdaságosság miatt kell méretezni.;vezetékek;méretezés;2;2;25;S0033;1. oldal;vezetékek,méretezés,üzemeltetés;hu;;
Q0115;ordering;Rendezze sorrendbe a feszültségesésre történő méretezés lépéseit!;Először a teljesítményből indulunk, majd az áram, a megengedett feszültségesés, a szükséges keresztmetszet és végül a szabványos méret kiválasztása következik.;vezetékek;feszültségesés;2;2;30;S0033;2-3. oldal;feszültségesés,méretezés;hu;;
Q0116;grouping;Csoportosítsa a példákat a vezetékek terhelési csoportjai szerint!;A példák az A, B és C terhelési csoportokba sorolhatók a szerelési mód alapján.;vezetékek;terhelési csoportok;2;2;35;S0033;3. oldal;terhelési csoportok,vezetékek;hu;;
Q0117;single_choice;Mi jellemzi a tápvezetéket?;A tápvezeték a táppontot a fogyasztóval közvetlenül összekötő vezeték, amelyen csak a végén van terhelés.;vezetékek;tápvezeték;1;1;15;S0033;4. oldal;tápvezeték,vezetékek;hu;;
Q0118;matching;Párosítsa a biztosítótípusokat a tipikus alkalmazási területükkel!;A gL/gG vezetékekhez, az aM/gM motorokhoz, a gR/aR félvezetőkhöz, a gTr pedig transzformátorokhoz való.;védelem;biztosítók;2;2;30;S0034;4-5. oldal;biztosítékok,szelektivitás;hu;;
Q0119;single_choice;Mit jelent a szelektivitás a túláramvédelemben?;A szelektív védelemnél lehetőleg csak a hibás berendezésrész kapcsolódik ki.;védelem;szelektivitás;2;1;20;S0034;3. oldal;szelektivitás,túláramvédelem;hu;;
Q0120;true_false;A zárlati áram olyan túláram, amely az áramkör villamos hibája miatt alakul ki.;A forrás szerint a zárlati áram hibából származó túláram.;védelem;zárlati áram;1;1;10;S0034;2-3. oldal;zárlat,túláram;hu;;
Q0121;ordering;Rendezze sorrendbe a villámáram útjának fő elemeit!;A villámáram a felfogóról a levezetőn át jut a földelőbe.;védelem;villámvédelem;1;1;15;S0035;1. oldal;villámvédelem,felfogó,levezető,földelő;hu;;
Q0122;matching;Párosítsa a túlfeszültség-védelmi fokozatokat a feladatukkal!;Az 1. osztály a nagy energiájú részvillámáramokat vezeti le, a 2. osztály korlátoz, a 3. osztály tovább finomít.;védelem;túlfeszültségvédelem;2;2;30;S0035;1. oldal;túlfeszültség,villámvédelem,SPD;hu;;
Q0123;true_false;A villámhárító önmagában a villám másodlagos hatásai ellen is teljes védelmet nyújt.;A forrás szerint a villámhárító nem véd a másodlagos hatások ellen.;védelem;villámvédelem;1;1;10;S0035;1. oldal;villámvédelem;hu;;
Q0124;numeric_entry;Mekkora 1U magasság milliméterben a rackszekrényeknél?;A forrás szerint 1U = 44,45 mm.;villamos-berendezések;rack;1;1;15;S0031;6. oldal;rack,1U;hu;44.45;0.01
Q0125;matching;Párosítsa a szekrénytípusokat a jellemzőikkel!;A forrás a különböző szekrénytípusokhoz jellegzetes alkalmazási és szerelési tulajdonságokat ad meg.;villamos-berendezések;szekrénytípusok;2;2;35;S0031;1-8. oldal;szekrények,rack,MCC,kültér,Ex p;hu;;
Q0126;single_choice;Miért nem elég önmagában az IP-besorolás a kültéri szekrény kiválasztásához?;A kültéri telepítésnél a napsugárzás, a hőterhelés és a mechanikai igénybevétel is számít.;villamos-berendezések;kültéri szekrény;2;1;20;S0031;7. oldal;IP,kültér,szekrény;hu;;
Q0127;true_false;A gyújtószikramentes és a nem gyújtószikramentes jelek bekötési kapcsai között legalább 50 mm távolságot kell tartani.;A szegregálási szabály ezt az elkülönítést írja elő.;villamos-berendezések;zavarszegregáció;2;1;10;S0031;11. oldal;gyújtószikramentes,Ex i,szegregáció;hu;;
Q0128;single_choice;Mi a belső villámvédelem feladata?;A belső villámvédelem célja a villámáram behatolásának megakadályozása a védett térbe.;védelem;villámvédelem;2;1;20;S0035;1. oldal;villámvédelem,belső villámvédelem;hu;;
Q0129;true_false;A villamosenergia-rendszer részei az erőművek, a hálózati összeköttetések és az állomások.;A forrás a rendszer három fő részét sorolja fel.;villamos-alapok;villamosenergia-rendszer;2;1;20;S0003;13. oldal;villamos-alapok,villamosenergia-rendszer;hu;;
Q0130;single_choice;Melyik felsorolás írja le a villamosenergia-rendszer fő részeit?;A forrás a rendszer három fő részét sorolja fel.;villamos-alapok;villamosenergia-rendszer;2;1;20;S0003;13. oldal;villamos-alapok,villamosenergia-rendszer;hu;;
Q0131;true_false;A lakóépületek hálózati csatlakozására vonatkozó előírásokat az MSZ 447 tartalmazza.;A forrás az MSZ 447-et nevezi meg.;villamos-alapok;hálózati csatlakozás;2;1;20;S0003;13. oldal;villamos-alapok,hálózati csatlakozás;hu;;
Q0132;single_choice;Melyik szabvány foglalkozik a lakóépületek hálózati csatlakozásával?;A forrás az MSZ 447-et nevezi meg.;villamos-alapok;hálózati csatlakozás;2;1;20;S0003;13. oldal;villamos-alapok,hálózati csatlakozás;hu;;
Q0133;true_false;A csatlakozó vezeték feszültségesése legfeljebb 1% lehet.;A forrás 1%-os felső határt ad.;vezetékek;csatlakozó vezeték;2;1;20;S0003;14. oldal;vezetékek,csatlakozó vezeték;hu;;
Q0134;single_choice;Mekkora lehet legfeljebb a csatlakozó vezeték feszültségesése?;A forrás 1%-os felső határt ad.;vezetékek;csatlakozó vezeték;2;1;20;S0003;14. oldal;vezetékek,csatlakozó vezeték;hu;;
Q0135;true_false;Szabadvezetékes csatlakozást legfeljebb 6 lakásos épületig és 20 kW csatlakozási teljesítményig javasolt létesíteni.;A forrás ezt a két határt adja meg.;vezetékek;szabadvezetékes csatlakozás;2;1;20;S0003;14. oldal;vezetékek,szabadvezetékes csatlakozás;hu;;
Q0136;single_choice;Milyen határértékekhez kötik a szabadvezetékes csatlakozást?;A forrás ezt a két határt adja meg.;vezetékek;szabadvezetékes csatlakozás;2;1;20;S0003;14. oldal;vezetékek,szabadvezetékes csatlakozás;hu;;
Q0137;true_false;A főelosztó lehet falon kívüli vagy süllyesztett kivitelű, és anyaga lehet fém vagy nehezen éghető anyag.;A forrás ezt a kialakítást emeli ki.;villamos-berendezések;főelosztó;2;1;20;S0003;14. oldal;villamos-berendezések,főelosztó;hu;;
Q0138;single_choice;Milyen kialakítás jellemző a főelosztóra?;A forrás ezt a kialakítást emeli ki.;villamos-berendezések;főelosztó;2;1;20;S0003;14. oldal;villamos-berendezések,főelosztó;hu;;
Q0139;true_false;A lakás áramköreit logikai, teljesítmény-, elhelyezkedés- és karbantarthatósági szempont szerint célszerű szétosztani.;A forrás ezeket a szempontokat sorolja.;kapcsolások;áramköri felosztás;2;1;20;S0003;15. oldal;kapcsolások,áramköri felosztás;hu;;
Q0140;single_choice;Melyik szempont szerepel a lakás áramköri felosztásánál?;A forrás ezeket a szempontokat sorolja.;kapcsolások;áramköri felosztás;2;1;20;S0003;15. oldal;kapcsolások,áramköri felosztás;hu;;
Q0141;true_false;A nagy teljesítményű fogyasztók külön áramkörről működjenek.;A forrás külön áramkört javasol.;kapcsolások;külön áramkörök;2;1;20;S0003;15. oldal;kapcsolások,külön áramkörök;hu;;
Q0142;single_choice;Mi igaz a nagy teljesítményű fogyasztókra?;A forrás külön áramkört javasol.;kapcsolások;külön áramkörök;2;1;20;S0003;15. oldal;kapcsolások,külön áramkörök;hu;;
Q0143;true_false;A lámpatestek alapvédettsége IP20.;A forrás ezt adja meg alapértékként.;világítás;IP védettség;2;1;20;S0003;18. oldal;világítás,IP védettség;hu;;
Q0144;single_choice;Mi a lámpatestek alapvédettsége a forrás szerint?;A forrás ezt adja meg alapértékként.;világítás;IP védettség;2;1;20;S0003;18. oldal;világítás,IP védettség;hu;;
Q0145;true_false;A túláram két fő típusa a túlterhelési áram és a zárlati áram.;A forrás ezt a két típust különíti el.;védelem;túláram;2;1;20;S0003;19. oldal;védelem,túláram;hu;;
Q0146;single_choice;Melyik felsorolás adja meg a túláram két fő típusát?;A forrás ezt a két típust különíti el.;védelem;túláram;2;1;20;S0003;19. oldal;védelem,túláram;hu;;
Q0147;true_false;A bimetálos hőkioldó túlterheléskor elhajlik és bontja az áramkört.;A forrás ezt írja le működésként.;védelem;hőkioldó;2;1;20;S0003;19. oldal;védelem,hőkioldó;hu;;
Q0148;single_choice;Mi történik a bimetálos hőkioldóval túlterheléskor?;A forrás ezt írja le működésként.;védelem;hőkioldó;2;1;20;S0003;19. oldal;védelem,hőkioldó;hu;;
Q0149;true_false;A biztonsági törpefeszültség felső határa váltakozó áramnál 50 V, egyenáramnál 120 V.;A forrás a két határértéket adja meg.;érintésvédelem;SELV;2;1;20;S0003;20. oldal;érintésvédelem,SELV;hu;;
Q0150;single_choice;Mekkora a biztonsági törpefeszültség felső határa?;A forrás a két határértéket adja meg.;érintésvédelem;SELV;2;1;20;S0003;20. oldal;érintésvédelem,SELV;hu;;
Q0151;true_false;A II. érintésvédelmi osztályú szerkezetek kiegészítő vagy megerősített szigeteléssel rendelkeznek, és nincs rajtuk védőkapocs.;A forrás így jellemzi a II. osztályt.;érintésvédelem;II. osztály;2;1;20;S0003;20. oldal;érintésvédelem,II. osztály;hu;;
Q0152;single_choice;Melyik állítás igaz a II. érintésvédelmi osztályra?;A forrás így jellemzi a II. osztályt.;érintésvédelem;II. osztály;2;1;20;S0003;20. oldal;érintésvédelem,II. osztály;hu;;
Q0153;true_false;A TN rendszerben a megengedett limitfeszültség 50 V.;A forrás 50 V-ot ad meg.;érintésvédelem;TN rendszer;2;1;20;S0003;7. oldal;érintésvédelem,TN rendszer;hu;;
Q0154;single_choice;Mekkora a TN rendszerben megengedett limitfeszültség?;A forrás 50 V-ot ad meg.;érintésvédelem;TN rendszer;2;1;20;S0003;7. oldal;érintésvédelem,TN rendszer;hu;;
Q0155;true_false;A TT rendszerben az RA és Ia szorzatának legfeljebb 50 V-nak kell lennie.;A forrás ezt a méretezési feltételt adja meg.;érintésvédelem;TT rendszer;2;1;20;S0003;7. oldal;érintésvédelem,TT rendszer;hu;;
Q0156;single_choice;Melyik összefüggés igaz a TT rendszerre?;A forrás ezt a méretezési feltételt adja meg.;érintésvédelem;TT rendszer;2;1;20;S0003;7. oldal;érintésvédelem,TT rendszer;hu;;
Q0157;true_false;Az áram-védőkapcsoló nem önálló hibavédelmi mód, hanem a rendszer hatékonyságát növeli.;A forrás ezt hangsúlyozza.;érintésvédelem;ÁVK;2;1;20;S0003;7. oldal;érintésvédelem,ÁVK;hu;;
Q0158;single_choice;Mi igaz az áram-védőkapcsolóra?;A forrás ezt hangsúlyozza.;érintésvédelem;ÁVK;2;1;20;S0003;7. oldal;érintésvédelem,ÁVK;hu;;
Q0159;true_false;Az EPH-csomópontba a védővezető gerincvezetékét, a földelővezetőket és a releváns fém szerkezeteket kell bekötni.;A forrás ezt a bekötési logikát írja elő.;érintésvédelem;EPH;2;1;20;S0003;8. oldal;érintésvédelem,EPH;hu;;
Q0160;single_choice;Mit kell az EPH-hálózatba bekötni?;A forrás ezt a bekötési logikát írja elő.;érintésvédelem;EPH;2;1;20;S0003;8. oldal;érintésvédelem,EPH;hu;;
Q0161;true_false;A külső villámvédelem elemei a felfogó, a levezető és a földelő.;A forrás ezt a hármasságot adja meg.;védelem;villámvédelem;2;1;20;S0003;9. oldal;védelem,villámvédelem;hu;;
Q0162;single_choice;Melyik felsorolás adja meg a külső villámvédelem elemeit?;A forrás ezt a hármasságot adja meg.;védelem;villámvédelem;2;1;20;S0003;9. oldal;védelem,villámvédelem;hu;;
Q0163;true_false;A többlépcsős túlfeszültségvédelem 1., 2. és 3. osztályú fokozatokból áll.;A forrás három fokozatot különít el.;védelem;túlfeszültségvédelem;2;1;20;S0003;9. oldal;védelem,túlfeszültségvédelem;hu;;
Q0164;single_choice;Melyik fokozatsorozat szerepel a többlépcsős túlfeszültségvédelemnél?;A forrás három fokozatot különít el.;védelem;túlfeszültségvédelem;2;1;20;S0003;9. oldal;védelem,túlfeszültségvédelem;hu;;
Q0165;true_false;A transzformátorok kapcsolásai között szerepel a csillag, a delta és a zegzug kapcsolás.;A forrás ezt a három kapcsolást nevezi meg.;transzformátor;kapcsolási csoportok;2;1;20;S0003;10. oldal;transzformátor,kapcsolási csoportok;hu;;
Q0166;single_choice;Melyik felsorolás tartozik a transzformátor kapcsolásaihoz?;A forrás ezt a három kapcsolást nevezi meg.;transzformátor;kapcsolási csoportok;2;1;20;S0003;10. oldal;transzformátor,kapcsolási csoportok;hu;;
Q0167;true_false;A háromfázisú aszinkron motor fő fajtái a kalickás és a csúszógyűrűs kivitel.;A forrás ezt a két fő típust említi.;motorok;aszinkron motor;2;1;20;S0003;10. oldal;motorok,aszinkron motor;hu;;
Q0168;single_choice;Melyik felsorolás adja meg a háromfázisú aszinkron motor fő fajtáit?;A forrás ezt a két fő típust említi.;motorok;aszinkron motor;2;1;20;S0003;10. oldal;motorok,aszinkron motor;hu;;
Q0169;true_false;A relé és a mágneskapcsoló között az egyik fő különbség az, hogy a relé inkább gyengeáramú, a mágneskapcsoló pedig erősáramú alkalmazásra való.;A forrás ezt a felhasználást különíti el.;kapcsolók;relé;2;1;20;S0003;11. oldal;kapcsolók,relé;hu;;
Q0170;single_choice;Mi a relé és a mágneskapcsoló közti alapvető különbség?;A forrás ezt a felhasználást különíti el.;kapcsolók;relé;2;1;20;S0003;11. oldal;kapcsolók,relé;hu;;
Q0171;true_false;A villamos ív a két fémelektróda, az anód és a katód között jön létre.;A forrás így definiálja az ív helyét.;védelem;villamosív;2;1;20;S0003;12. oldal;védelem,villamosív;hu;;
Q0172;single_choice;Hol jön létre a villamos ív?;A forrás így definiálja az ív helyét.;védelem;villamosív;2;1;20;S0003;12. oldal;védelem,villamosív;hu;;
Q0173;true_false;A kapcsolókészülékeket a megszakítási áram nagysága szerint csoportosíthatjuk.;A forrás ezt a csoportosítást adja meg.;védelem;kapcsolókészülékek;2;1;20;S0003;12. oldal;védelem,kapcsolókészülékek;hu;;
Q0174;single_choice;Mi szerint csoportosíthatók a kapcsolókészülékek?;A forrás ezt a csoportosítást adja meg.;védelem;kapcsolókészülékek;2;1;20;S0003;12. oldal;védelem,kapcsolókészülékek;hu;;
Q0175;true_false;Az egysarkú kapcsoló egy világítási kört egy helyről kapcsol, és a fázisvezetőt szakítja meg.;A forrás ezt az alkalmazást írja le.;kapcsolók;egysarkú kapcsoló;2;1;15;S0013;2. oldal;kapcsolók,egysarkú kapcsoló;hu;;
Q0176;single_choice;Mi igaz az egysarkú kapcsolóra?;A forrás ezt az alkalmazást írja le.;kapcsolók;egysarkú kapcsoló;2;1;15;S0013;2. oldal;kapcsolók,egysarkú kapcsoló;hu;;
Q0177;true_false;A kétsarkú kapcsoló a nulla és a fázis egyszerre történő megszakítására is alkalmas.;A forrás ezt a feladatot emeli ki.;kapcsolók;kétsarkú kapcsoló;2;1;15;S0013;4. oldal;kapcsolók,kétsarkú kapcsoló;hu;;
Q0178;single_choice;Mi jellemző a kétsarkú kapcsolóra?;A forrás ezt a feladatot emeli ki.;kapcsolók;kétsarkú kapcsoló;2;1;15;S0013;4. oldal;kapcsolók,kétsarkú kapcsoló;hu;;
Q0179;true_false;A csillárkapcsoló kétáramkörös kapcsoló, osztott lámpatestek kapcsolására.;A forrás ezt a használatot adja meg.;kapcsolók;csillárkapcsoló;2;1;15;S0013;6. oldal;kapcsolók,csillárkapcsoló;hu;;
Q0180;single_choice;Mi a csillárkapcsoló feladata?;A forrás ezt a használatot adja meg.;kapcsolók;csillárkapcsoló;2;1;15;S0013;6. oldal;kapcsolók,csillárkapcsoló;hu;;
Q0181;true_false;A váltókapcsoló egy világítási kör két helyről való kapcsolására szolgál.;A forrás ezt az alkalmazást sorolja.;kapcsolók;váltókapcsoló;2;1;15;S0014;2. oldal;kapcsolók,váltókapcsoló;hu;;
Q0182;single_choice;Mi igaz a váltókapcsolóra?;A forrás ezt az alkalmazást sorolja.;kapcsolók;váltókapcsoló;2;1;15;S0014;2. oldal;kapcsolók,váltókapcsoló;hu;;
Q0183;true_false;A keresztkapcsoló három vagy több helyről vezérelt világítási körökben használatos.;A forrás így írja le a szerepét.;kapcsolók;keresztkapcsoló;2;1;15;S0014;5. oldal;kapcsolók,keresztkapcsoló;hu;;
Q0184;single_choice;Hol használják a keresztkapcsolót?;A forrás így írja le a szerepét.;kapcsolók;keresztkapcsoló;2;1;15;S0014;5. oldal;kapcsolók,keresztkapcsoló;hu;;
Q0185;true_false;A kisfeszültségű vezetékeket minőségi energiaszolgáltatás, biztonság és gazdaságosság miatt kell méretezni.;A forrás ezt a hármas célt emeli ki.;vezetékek;méretezés;2;1;20;S0033;1. oldal;vezetékek,méretezés;hu;;
Q0186;single_choice;Miért kell a kisfeszültségű vezetékeket méretezni?;A forrás ezt a hármas célt emeli ki.;vezetékek;méretezés;2;1;20;S0033;1. oldal;vezetékek,méretezés;hu;;
Q0187;true_false;A feszültségesésre történő méretezés lépései: teljesítmény, áram, megengedett feszültségesés, keresztmetszet és szabványos keresztmetszet kiválasztása.;A forrás ezt a sorrendet adja.;vezetékek;feszültségesés;2;1;20;S0033;2. oldal;vezetékek,feszültségesés;hu;;
Q0188;single_choice;Melyik a helyes méretezési sorrend a feszültségesésre történő számításnál?;A forrás ezt a sorrendet adja.;vezetékek;feszültségesés;2;1;20;S0033;2. oldal;vezetékek,feszültségesés;hu;;
Q0189;true_false;A vezetékek terhelhetősége az A, B és C terhelési csoportban van megadva.;A forrás ezt a három csoportot különíti el.;vezetékek;terhelési csoportok;2;1;20;S0033;3. oldal;vezetékek,terhelési csoportok;hu;;
Q0190;single_choice;Melyik terhelési csoportokat használja a forrás?;A forrás ezt a három csoportot különíti el.;vezetékek;terhelési csoportok;2;1;20;S0033;3. oldal;vezetékek,terhelési csoportok;hu;;
Q0191;true_false;A tápvezeték a táppontot a fogyasztóval közvetlenül összekötő vezeték, amelyen csak a végén van terhelés.;A forrás ezt a definíciót adja.;vezetékek;tápvezeték;2;1;20;S0033;4. oldal;vezetékek,tápvezeték;hu;;
Q0192;single_choice;Mi a tápvezeték jellemzője?;A forrás ezt a definíciót adja.;vezetékek;tápvezeték;2;1;20;S0033;4. oldal;vezetékek,tápvezeték;hu;;
Q0193;true_false;A túláram minden olyan áram, amely az adott áramkör névleges áramát meghaladja.;A forrás ezt a definíciót használja.;védelem;túláram;2;1;20;S0034;2. oldal;védelem,túláram;hu;;
Q0194;single_choice;Mi a túláram definíciója?;A forrás ezt a definíciót használja.;védelem;túláram;2;1;20;S0034;2. oldal;védelem,túláram;hu;;
Q0195;true_false;Szelektivitás esetén lehetőleg csak a hibás berendezésrész kapcsolódjon ki.;A forrás ezt a célt adja meg.;védelem;szelektivitás;2;1;20;S0034;3. oldal;védelem,szelektivitás;hu;;
Q0196;single_choice;Mit jelent a szelektivitás a védelemben?;A forrás ezt a célt adja meg.;védelem;szelektivitás;2;1;20;S0034;3. oldal;védelem,szelektivitás;hu;;
Q0197;true_false;A gL/gG biztosítók vezetékekhez, az aM/gM biztosítók motorokhoz valók.;A forrás ezt a tipikus alkalmazást emeli ki.;védelem;biztosítók;2;1;20;S0034;4-5. oldal;védelem,biztosítók;hu;;
Q0198;single_choice;Melyik párosítás helyes?;A forrás ezt a tipikus alkalmazást emeli ki.;védelem;biztosítók;2;1;20;S0034;4-5. oldal;védelem,biztosítók;hu;;
Q0199;true_false;A külső villámvédelem feladata a villámáram biztonságos levezetése a felfogótól a földelőig.;A forrás ezt a fő feladatot írja le.;védelem;villámvédelem;2;1;20;S0035;1. oldal;védelem,villámvédelem;hu;;
Q0200;single_choice;Mi a külső villámvédelem fő feladata?;A forrás ezt a fő feladatot írja le.;védelem;villámvédelem;2;1;20;S0035;1. oldal;védelem,villámvédelem;hu;;
Q0201;true_false;A többlépcsős túlfeszültségvédelmi rendszer általánosan 1., 2. és 3. osztályú fokozatokból áll.;A forrás három védelmi fokozatot különít el.;védelem;túlfeszültségvédelem;2;1;20;S0035;1. oldal;védelem,túlfeszültségvédelem;hu;;
Q0202;single_choice;Melyik fokozatsorozat jellemző a túlfeszültségvédelemre?;A forrás három védelmi fokozatot különít el.;védelem;túlfeszültségvédelem;2;1;20;S0035;1. oldal;védelem,túlfeszültségvédelem;hu;;
Q0203;true_false;A belső villámvédelem az LPZ 0/1 zónahatáron létesített összecsatolások rendszere.;A forrás ezt a zónahatárt nevezi meg.;védelem;villámvédelmi zónák;2;1;20;S0035;1. oldal;védelem,villámvédelmi zónák;hu;;
Q0204;single_choice;Hol létesül a belső villámvédelem?;A forrás ezt a zónahatárt nevezi meg.;védelem;villámvédelmi zónák;2;1;20;S0035;1. oldal;védelem,villámvédelmi zónák;hu;;
Q0205;true_false;A villamos berendezés szerelésben megjelenik a fogyasztásmérő szekrény, az energiaelosztó szekrény, az MCC és a rackrendszerű szekrény is.;A forrás ezeket a típusokat tárgyalja.;villamos-berendezések;szekrénytípusok;2;1;20;S0031;1-3. oldal;villamos-berendezések,szekrénytípusok;hu;;
Q0206;single_choice;Melyik felsorolás tartozik a villamos berendezés szerelés szekrénytípusai közé?;A forrás ezeket a típusokat tárgyalja.;villamos-berendezések;szekrénytípusok;2;1;20;S0031;1-3. oldal;villamos-berendezések,szekrénytípusok;hu;;
Q0207;true_false;A rackszekrényeknél 1U = 44,45 mm.;A forrás az 1U magasságot így adja meg.;villamos-berendezések;rack;2;1;20;S0031;6. oldal;villamos-berendezések,rack;hu;;
Q0208;single_choice;Mekkora 1U a rackszekrényeknél?;A forrás az 1U magasságot így adja meg.;villamos-berendezések;rack;2;1;20;S0031;6. oldal;villamos-berendezések,rack;hu;;
Q0209;true_false;Kültéri szekrény kiválasztásánál az IP-besorolás önmagában nem elég, a napsugárzás, a hőterhelés és a mechanikai igénybevétel is számít.;A forrás ezeket a kiegészítő tényezőket emeli ki.;villamos-berendezések;kültéri szekrény;2;1;20;S0031;7. oldal;villamos-berendezések,kültéri szekrény;hu;;
Q0210;single_choice;Miért nem elég önmagában az IP-besorolás kültéri szekrényhez?;A forrás ezeket a kiegészítő tényezőket emeli ki.;villamos-berendezések;kültéri szekrény;2;1;20;S0031;7. oldal;villamos-berendezések,kültéri szekrény;hu;;
Q0211;true_false;A transzformátor kapcsolásai között szerepel a csillag, a delta és a zegzug kapcsolás.;A forrás ezt a három kapcsolást említi.;transzformátor;kapcsolások;2;1;20;S0003;16. oldal;transzformátor,kapcsolások;hu;;
Q0212;single_choice;Melyik kapcsolások szerepelnek a transzformátoroknál?;A forrás ezt a három kapcsolást említi.;transzformátor;kapcsolások;2;1;20;S0003;16. oldal;transzformátor,kapcsolások;hu;;
Q0213;true_false;A háromfázisú aszinkron motor két fő forgórész-fajtája a kalickás és a csúszógyűrűs kivitel.;A forrás ezt a két típust különíti el.;motorok;aszinkron motor;2;1;20;S0003;17. oldal;motorok,aszinkron motor;hu;;
Q0214;single_choice;Melyik a háromfázisú aszinkron motor két fő fajtája?;A forrás ezt a két típust különíti el.;motorok;aszinkron motor;2;1;20;S0003;17. oldal;motorok,aszinkron motor;hu;;
Q0215;true_false;A villamos ív az anód és a katód között jön létre.;A forrás így definiálja az ív helyét.;védelem;villamosív;2;1;20;S0003;18. oldal;védelem,villamosív;hu;;
Q0216;single_choice;Hol jön létre a villamos ív?;A forrás így definiálja az ív helyét.;védelem;villamosív;2;1;20;S0003;18. oldal;védelem,villamosív;hu;;
Q0305;true_false;A villamosenergia-rendszer részei az erőművek, a hálózati összeköttetések és az állomások.;A forrás a rendszer három fő részét sorolja fel.;villamos-alapok;villamosenergia-rendszer;2;1;20;S0003;1. oldal;villamos-alapok,villamosenergia-rendszer;hu;;
Q0306;single_choice;Melyik felsorolás tartozik a villamosenergia-rendszer részei közé?;A forrás a rendszer három fő részét sorolja fel.;villamos-alapok;villamosenergia-rendszer;2;1;20;S0003;1. oldal;villamos-alapok,villamosenergia-rendszer;hu;;
Q0307;true_false;A kommunális és lakóépületek hálózatra csatlakoztatásának előírásait az MSZ 447:2009 tartalmazza.;A forrás az MSZ 447:2009-et nevezi meg.;villamos-alapok;hálózati csatlakozás;2;1;20;S0003;1. oldal;villamos-alapok,hálózati csatlakozás;hu;;
